log.prior	log.likelihood	log.likelihood.test.set
-1.236661824360616947e+03 -3.734817996462036263e+02 -1.533979863601973648e+01
-1.237141908599364115e+03 -3.716458234556913567e+02 -1.526978156257143837e+01
-1.243820247048303372e+03 -3.707591884454234901e+02 -1.528017799521930442e+01
-1.232221337924996533e+03 -3.713740892001915768e+02 -1.516852351901613360e+01
-1.236051474608230365e+03 -3.684237579348316558e+02 -1.509191836370317219e+01
-1.230380467900012718e+03 -3.711411026325743592e+02 -1.598943326568615930e+01
-1.241418227021879829e+03 -3.699225159106726437e+02 -1.658981276629370427e+01
-1.246878717557071468e+03 -3.710739383135600065e+02 -1.691408176701327193e+01
-1.258864080464194558e+03 -3.700537997669304104e+02 -1.680548820996563109e+01
-1.270077985604774767e+03 -3.711868249725774831e+02 -1.725595759205623381e+01
-1.269662194871787733e+03 -3.708621004050512511e+02 -1.660267504123541471e+01
-1.270964136490764076e+03 -3.702519822061801165e+02 -1.660394484626118583e+01
-1.277285715958076025e+03 -3.702339360057477506e+02 -1.701933869118570897e+01
-1.280030372302330306e+03 -3.723068673376097877e+02 -1.682019632953333144e+01
-1.284395722335990513e+03 -3.722115241871809985e+02 -1.666864391593912842e+01
-1.287646197898288619e+03 -3.705502088471929483e+02 -1.660165934804675203e+01
-1.279102320893593060e+03 -3.730587866095887648e+02 -1.621853025005395921e+01
-1.284410880959807173e+03 -3.690720700991656713e+02 -1.585783781185924113e+01
-1.272955300407493269e+03 -3.705460700614419238e+02 -1.578272789805524212e+01
-1.273396510612441944e+03 -3.727624738066104442e+02 -1.620242671106058197e+01
-1.273502335692180395e+03 -3.745413332614421051e+02 -1.619079412356396119e+01
-1.287743523289720770e+03 -3.747978216210184428e+02 -1.619463410153946370e+01
-1.291318663474359937e+03 -3.723964451585761708e+02 -1.623612359925166970e+01
-1.288807542637379584e+03 -3.707925403154888500e+02 -1.594128537995277384e+01
