word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	
9.196229688565793481e+00 7.132762800215854071e+00 8.340261500839837083e+00 9.439076321896441968e+00 7.212310060944095547e+00 9.325800708982875165e+00
6.530856364167964223e+00 9.114780775165453264e+00 5.448374447600169646e+00 9.426491667306398980e+00 9.454774689622084338e+00 7.503991217862575169e+00
7.358531706484041202e+00 7.824011941819176030e+00 9.490343706396199508e+00 8.377739481339972372e+00 6.242344605434572813e+00 8.713078124367317656e+00
7.083743774123924197e+00 9.555303444736047425e+00 7.809367690887055069e+00 9.447893325657922503e+00 7.365869522724183049e+00 7.428900455565124794e+00
9.257036988404871991e+00 7.824024323206911546e+00 8.515919951664855603e+00 8.709358358477611972e+00 9.229297354952171517e+00 5.122622755617194379e+00
9.652919640963526504e+00 8.973083933543945179e+00 6.494900787305873280e+00 8.594850801107263294e+00 8.820041372580400107e+00 9.045818475071127907e+00
5.398950860003617791e+00 9.220331641918695809e+00 6.696036797714892685e+00 9.196533938132013475e+00 9.827956159351012744e+00 9.853357795037588573e+00
6.159240598776938747e+00 9.954119424882721390e+00 8.581970714772497288e+00 7.925434250267407776e+00 7.704373377203408424e+00 9.588046522097133817e+00
9.522514742520135300e+00 7.460626988378624702e+00 8.070715685444303844e+00 7.864677541503425573e+00 8.111854379440931240e+00 6.906402508559874143e+00
7.885281381805285150e+00 7.680308223307916293e+00 8.506218251356992610e+00 9.440822185545686196e+00 9.121570941092761231e+00 9.973358726589825807e+00
